description,category
Trash bag pile with site rubble abandoned overnight near Suburban cul-de-sac during late afternoon amid high winds.,illegal_dumping
Carpet roll with scrap lumber leaning on hydrant near Bike lane near station during holiday weekend after heavy rain.,bulk
Curbside tote with glass jars strewn across curb near City park during late afternoon amid high winds.,recyclables
Oil drum with corrosive fluid leaking onto soil near Riverbank during midnight patrol after parade.,hazardous
Compost bin with coffee grounds smelling strongly near Bike lane near station during early morning after heavy rain.,organic
Server rack with cables awaiting pickup near Recreation center during storm aftermath following festival.,e-waste
Contractor debris with black bags spread across verge near Campus edge during storm aftermath after parade.,illegal_dumping
Carpet roll with metal frames obstructing sidewalk near Campus edge during holiday weekend after heavy rain.,bulk
Drop-off cage with paper bundles contaminated with trash near Downtown plaza during late afternoon on foggy day.,recyclables
Oil drum with acidic runoff emitting fumes near Bike lane near station during weekend cleanup during heat wave.,hazardous
Yard bag stack with spoiled fruit blocking walkway near Shopping arcade during storm aftermath after heavy rain.,organic
Battery tote with broken screens mixed with trash near Shopping arcade during weekend cleanup during heat wave.,e-waste
